Date ,Open ,High ,Low ,Close ,Prev. Close ,Change ,% Change 
23-JUN-2021,14.7375,15.535,13.625,15.365,14.7375,0.63,4.26
24-JUN-2021,15.365,15.6375,14.925,15.0975,15.365,-0.27,-1.74
25-JUN-2021,15.0975,15.2675,13.275,13.3675,15.0975,-1.73,-11.46
28-JUN-2021,13.3675,13.77,13.1175,13.4025,13.3675,0.04,0.26
29-JUN-2021,13.4025,13.4025,12.9025,13.0025,13.4025,-0.40,-2.98
30-JUN-2021,13.0025,13.14,12.6,13.045,13.0025,0.04,0.33
01-JUL-2021,13.045,13.2825,12.33,12.84,13.045,-0.21,-1.57
02-JUL-2021,12.84,13.02,12.0225,12.09,12.84,-0.75,-5.84
05-JUL-2021,12.09,12.6225,11.9875,12.0675,12.09,-0.02,-0.19
06-JUL-2021,12.0675,12.36,11.29,12.275,12.0675,0.21,1.72
07-JUL-2021,12.275,12.585,11.1475,12.2125,12.275,-0.06,-0.51
08-JUL-2021,12.2125,14.0075,12.055,13.56,12.2125,1.35,11.03
09-JUL-2021,13.56,14.0025,12.175,12.9425,13.56,-0.62,-4.55
12-JUL-2021,12.9425,13.6075,11.81,12.9925,12.9425,0.05,0.39
13-JUL-2021,12.9925,12.9925,10.6725,12.6225,12.9925,-0.37,-2.85
14-JUL-2021,12.6225,12.96,10.485,12.59,12.6225,-0.03,-0.26
15-JUL-2021,12.59,12.945,11.0825,12.27,12.59,-0.32,-2.54
16-JUL-2021,12.27,12.37,11.625,11.705,12.27,-0.57,-4.60
19-JUL-2021,11.705,13.1975,11.705,12.68,11.705,0.98,8.33
20-JUL-2021,12.68,14.0925,11.7875,13.205,12.68,0.53,4.14
22-JUL-2021,13.205,13.205,11.7175,11.885,13.205,-1.32,-10.00
23-JUL-2021,11.885,12.115,11.5675,11.7625,11.885,-0.12,-1.03
26-JUL-2021,11.7625,12.54,10.395,12.45,11.7625,0.69,5.84
27-JUL-2021,12.45,13.525,12.1025,13.2325,12.45,0.78,6.29
28-JUL-2021,13.2325,15.98,11.355,13.6925,13.2325,0.46,3.48
29-JUL-2021,13.6925,13.6925,12.435,12.945,13.6925,-0.75,-5.46
30-JUL-2021,12.945,13.32,12.175,12.8025,12.945,-0.14,-1.10
02-AUG-2021,12.8025,13.09,11.5175,12.805,12.8025,0.00,0.02
03-AUG-2021,12.805,13.905,11.9625,13.7475,12.805,0.94,7.36
04-AUG-2021,13.7475,14.0575,12.65,13.2125,13.7475,-0.54,-3.89
05-AUG-2021,13.2125,13.4175,11.2025,12.8725,13.2125,-0.34,-2.57
06-AUG-2021,12.8725,13.1625,11.64,12.6075,12.8725,-0.27,-2.06
09-AUG-2021,12.6075,13.11,12.03,12.605,12.6075,0.00,-0.02
10-AUG-2021,12.605,13.0675,9.9825,12.705,12.605,0.10,0.79
11-AUG-2021,12.705,13.3275,10.4725,12.7125,12.705,0.01,0.06
12-AUG-2021,12.7125,12.8175,11.3625,12.3725,12.7125,-0.34,-2.67
13-AUG-2021,12.3725,13.1625,11.395,12.99,12.3725,0.62,4.99
16-AUG-2021,12.99,13.6575,11.375,13.4575,12.99,0.47,3.60
17-AUG-2021,13.4575,13.61,12.0275,13.4125,13.4575,-0.05,-0.33
18-AUG-2021,13.4125,13.4125,11.12,12.905,13.4125,-0.51,-3.78
20-AUG-2021,12.905,14.14,12.3475,14.015,12.905,1.11,8.60
23-AUG-2021,14.015,14.44,12.725,13.685,14.015,-0.33,-2.35
24-AUG-2021,13.685,14.5075,13.0975,13.1875,13.685,-0.50,-3.64
25-AUG-2021,13.1875,13.9725,12.265,13.4975,13.1875,0.31,2.35
26-AUG-2021,13.4975,14.195,12.1125,13.5375,13.4975,0.04,0.30
27-AUG-2021,13.5375,13.76,12.94,13.405,13.5375,-0.13,-0.98
30-AUG-2021,13.405,13.685,12.4025,13.3175,13.405,-0.09,-0.65
31-AUG-2021,13.3175,14.765,12.635,14.52,13.3175,1.20,9.03
01-SEP-2021,14.52,15.63,13.9,14.185,14.52,-0.34,-2.31
02-SEP-2021,14.185,14.385,13.61,14.24,14.185,0.06,0.39
03-SEP-2021,14.24,14.645,13.58,14.5425,14.24,0.30,2.12
06-SEP-2021,14.5425,15.28,14.055,15.105,14.5425,0.56,3.87
07-SEP-2021,15.105,15.23,14.585,14.895,15.105,-0.21,-1.39
08-SEP-2021,14.895,15.0625,12.485,14.41,14.895,-0.49,-3.26
09-SEP-2021,14.41,14.41,13.6375,13.9425,14.41,-0.47,-3.24
13-SEP-2021,13.9425,14.7775,11.9175,14.025,13.9425,0.08,0.59
