Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,56400.00,1088.95,1088.95,919.95,949.15,952.70,949.15,244.00,0.05,-4816.51,2590.00,175.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,47900.00,-,-,-,4511.60,4511.60,7729.10,-,-,-,60.00,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,51900.00,-,-,-,4040.65,4040.65,3761.35,-,-,-,1230.00,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,54000.00,1860.05,1945.00,1701.15,1784.80,1832.30,1784.80,5815.00,0.97,-94202.03,207480.00,-48810.00,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,57400.00,-,-,-,1806.00,-,1492.15,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,59900.00,-,-,-,980.95,-,738.45,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,48000.00,7600.05,7700.10,7500.00,7583.35,7600.00,7583.35,73.00,0.01,-1051.19,25320.00,-1020.00,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,57700.00,-,-,-,1686.35,-,1379.05,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,54300.00,-,-,-,3404.95,-,3064.00,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,54900.00,1107.05,1199.00,1024.25,1090.05,1086.70,1090.05,966.00,0.16,-15909.86,9780.00,1080.00,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,52300.00,-,-,-,4405.70,4405.70,4000.00,-,-,-,70.00,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,61500.00,-,-,-,663.75,-,183.55,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,59800.00,12.00,20.00,12.00,14.25,13.30,14.25,3466.00,0.62,-62179.42,42330.00,-1470.00,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,63500.00,-,-,-,350.00,-,217.95,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,54700.00,1240.05,1335.30,1179.75,1239.40,1240.00,1239.40,298.00,0.05,-4890.13,8220.00,210.00,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,57000.00,1140.00,1185.35,1060.00,1075.60,1075.25,1075.60,219.00,0.04,-4369.01,10325.00,1330.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,50700.00,-,-,-,4950.00,4950.00,4939.00,-,-,-,480.00,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,50900.00,-,-,-,4750.00,4750.00,4740.95,-,-,-,780.00,-,55527.35
BANKNIFTY,13-Jun-2025,24-Dec-2025,CE,49500.00,-,-,-,7141.45,-,8206.15,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,62500.00,37.00,45.60,33.80,36.75,35.15,36.75,910.00,0.20,-19906.05,29015.00,2940.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,51500.00,4110.00,4271.25,4017.70,4056.60,4056.60,4150.35,16.00,-,-247.20,18630.00,-300.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,46400.00,-,-,-,7730.45,7730.45,9225.95,-,-,-,90.00,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,49800.00,-,-,-,6636.85,-,6208.70,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,42500.00,-,-,-,10916.55,10916.55,13117.65,-,-,-,30.00,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,60800.00,-,-,-,771.60,-,555.20,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,59100.00,-,-,-,1221.95,-,526.95,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,45300.00,-,-,-,8767.50,8767.50,10323.60,-,-,-,90.00,-,55527.35
BANKNIFTY,13-Jun-2025,25-Sep-2025,CE,49500.00,-,-,-,7200.00,7200.00,7159.55,-,-,-,5.00,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,52000.00,4050.00,4150.00,3949.00,4014.15,4052.00,4014.15,288.00,0.06,-5241.54,12915.00,4900.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,61700.00,8.80,8.80,6.15,7.85,7.00,7.85,78.00,0.01,-1443.77,4560.00,-630.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,49900.00,-,-,-,5960.80,5960.80,5734.30,-,-,-,30.00,-,55527.35
BANKNIFTY,13-Jun-2025,26-Mar-2026,CE,61500.00,-,-,-,1970.80,-,2615.20,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,25-Sep-2025,CE,58500.00,-,-,-,4297.95,-,1519.30,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,50400.00,-,-,-,5538.70,5538.70,5652.30,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,55000.00,1049.60,1160.35,836.20,1012.60,1033.85,1012.60,40092.00,6.74,-661511.26,528210.00,33870.00,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,63000.00,32.00,41.60,23.20,28.75,26.80,28.75,820.00,0.18,-18080.82,57820.00,7630.00,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,58200.00,450.00,450.00,355.65,367.95,367.95,745.90,6.00,-,-122.22,1155.00,105.00,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,55900.00,-,-,-,2496.20,-,2159.55,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,50900.00,-,-,-,5097.35,5097.35,5199.35,-,-,-,105.00,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,63000.00,6.55,8.85,5.65,6.45,6.40,6.45,30035.00,5.68,-567655.82,767520.00,-152430.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,61400.00,8.90,10.45,6.95,7.80,7.25,7.80,1770.00,0.33,-32603.07,5310.00,2280.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,48300.00,-,-,-,6800.00,6800.00,7330.00,-,-,-,90.00,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,54700.00,-,-,-,3161.05,-,2819.20,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,53600.00,-,-,-,3062.20,3062.20,3006.20,-,-,-,175.00,-,55527.35
BANKNIFTY,13-Jun-2025,26-Mar-2026,CE,63000.00,-,-,-,1633.00,-,2156.65,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,48600.00,-,-,-,7681.90,-,7352.35,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,56700.00,840.00,883.85,801.95,812.05,801.95,812.05,111.00,0.02,-2202.77,8820.00,-805.00,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,58300.00,334.55,360.25,334.50,344.95,346.20,344.95,112.00,0.02,-2285.34,1085.00,140.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,48200.00,-,-,-,4251.15,4251.15,7429.75,-,-,-,60.00,-,55527.35
BANKNIFTY,13-Jun-2025,24-Dec-2025,CE,48000.00,-,-,-,8109.10,-,9447.70,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,48600.00,-,-,-,7201.00,7201.00,7030.65,-,-,-,120.00,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,61100.00,-,-,-,710.25,-,503.65,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,53100.00,-,-,-,3465.35,3412.20,3372.90,-,-,-,140.00,-,55527.35
BANKNIFTY,13-Jun-2025,31-Jul-2025,CE,51900.00,4139.05,4184.60,4062.50,4133.75,4133.75,4133.75,13.00,-,-236.14,210.00,105.00,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,56500.00,286.05,345.30,262.60,282.35,283.00,282.35,116602.00,19.87,-1976384.03,960240.00,-13830.00,55527.35
BANKNIFTY,13-Jun-2025,24-Dec-2025,CE,43500.00,-,-,-,11410.70,-,13498.20,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,64000.00,5.70,7.00,5.35,6.10,5.80,6.10,12822.00,2.46,-246179.94,192990.00,9510.00,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,CE,58700.00,-,-,-,1329.55,-,1047.70,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,26-Jun-2025,CE,53300.00,2458.60,2509.00,2348.40,2487.45,2487.45,2464.60,51.00,0.01,-815.48,2880.00,-990.00,55527.35
