Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,41100.00,-,-,-,3222.95,-,3695.40,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,41500.00,3041.70,3232.30,3041.70,3230.80,3232.30,3230.80,69.00,0.01,-715.87,4400.00,25.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,39500.00,-,-,-,4827.85,-,5347.10,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,45200.00,130.55,204.80,127.80,183.45,187.55,183.45,13150.00,1.49,-148593.51,64100.00,37350.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,39500.00,5010.00,5230.80,5010.00,5230.10,5230.00,5230.10,50.00,0.01,-493.74,1025.00,400.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,42400.00,-,-,-,2371.70,-,2525.90,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,49500.00,2.75,3.45,2.10,2.20,2.25,2.20,80964.00,10.02,-1001919.48,154300.00,93100.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,44600.00,366.60,497.85,335.25,464.70,466.75,464.70,24993.00,2.81,-278669.14,44175.00,37325.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,45000.00,112.00,150.00,74.20,123.10,125.00,123.10,2553101.00,287.93,-28722098.32,2442825.00,1113375.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,42700.00,-,-,-,1722.85,1722.85,2258.10,-,-,-,175.00,-,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,42800.00,-,-,-,1570.95,1570.95,2171.00,-,-,-,150.00,-,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,37500.00,-,-,-,6760.70,-,7341.55,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,41400.00,-,-,-,3142.85,-,3469.25,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,46500.00,5.50,6.85,4.50,4.90,4.70,4.90,570596.00,66.34,-6633112.16,2302925.00,1444050.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,42000.00,2630.00,2775.00,2630.00,2738.00,2738.00,2738.00,5.00,-,-52.50,200.00,125.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,47500.00,3.75,4.40,2.80,2.90,2.95,2.90,144019.00,17.10,-1710208.52,535700.00,384175.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,44200.00,525.00,765.95,525.00,734.80,738.00,734.80,2914.00,0.33,-32199.37,14725.00,-3225.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,36500.00,8060.00,8260.00,8060.00,8250.00,8250.00,8250.00,8.00,-,-43.80,9240.00,-60.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,46200.00,5.95,8.85,4.30,6.30,5.65,6.30,221645.00,25.60,-2559974.15,458275.00,412425.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,43100.00,1634.65,1875.95,1634.60,1835.00,1835.00,1835.00,35.00,-,-226.27,4395.00,-105.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,42400.00,-,-,-,2100.00,2100.00,2788.70,-,-,-,525.00,-,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,41700.00,3051.90,3051.90,3051.90,3051.90,3051.90,3389.90,2.00,-,-12.51,495.00,15.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,39000.00,5552.60,5824.65,5552.60,5782.05,5785.85,5782.05,72.00,-,-421.20,20895.00,-75.00,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,42400.00,-,-,-,1963.95,-,2657.45,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,42600.00,-,-,-,1835.05,-,2487.40,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,45000.00,-,-,-,690.80,-,878.50,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,38000.00,-,-,-,5725.55,-,6894.40,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,45100.00,-,-,-,658.75,-,831.95,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,43100.00,-,-,-,1535.10,-,2082.10,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,40000.00,-,-,-,3850.25,-,4910.80,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,45400.00,-,-,-,569.40,-,702.40,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,43700.00,1169.45,1365.75,1139.00,1329.90,1324.00,1329.90,845.00,0.06,-5538.92,21585.00,-2790.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,46400.00,-,-,-,1051.35,-,519.55,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,45700.00,190.35,248.60,180.50,228.70,240.10,228.70,7866.00,0.54,-53920.89,43365.00,41145.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,44000.00,885.90,1142.00,885.90,1100.40,1102.00,1100.40,26564.00,1.79,-175320.61,472425.00,3075.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,46900.00,46.60,61.65,43.25,50.90,51.85,50.90,4470.00,0.31,-31446.14,4965.00,1920.00,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,37500.00,-,-,-,6549.20,-,7500.25,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,42500.00,-,-,-,2224.40,-,2840.65,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,42800.00,-,-,-,2029.10,-,2607.20,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,39500.00,-,-,-,4648.65,-,5537.50,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,44800.00,-,-,-,998.10,-,1319.25,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,48500.00,-,-,-,574.90,-,137.20,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,43400.00,-,-,-,1417.80,1417.80,2169.05,-,-,-,15.00,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,45600.00,-,-,-,715.40,-,948.15,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,41700.00,-,-,-,2793.95,-,3504.15,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,41800.00,-,-,-,2719.15,-,3418.25,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,42000.00,-,-,-,2574.00,-,3248.90,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,42100.00,-,-,-,2500.40,-,3165.45,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,44100.00,-,-,-,971.30,971.30,1712.75,-,-,-,15.00,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,46000.00,-,-,-,599.15,-,793.35,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,46800.00,-,-,-,411.80,-,540.75,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,50500.00,52.20,52.20,26.00,26.00,26.00,26.00,4.00,-,-30.30,60.00,60.00,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,48000.00,-,-,-,221.90,-,284.85,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,48500.00,3.05,3.75,2.30,2.40,2.55,2.40,75762.00,9.19,-918605.06,194000.00,156750.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,42200.00,-,-,-,2519.75,-,2709.20,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,44300.00,492.55,693.60,487.50,658.60,659.05,658.60,5947.00,0.67,-65862.36,20500.00,-18800.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,43300.00,1295.00,1450.00,1284.95,1420.00,1420.00,1755.00,10.00,-,-108.25,1250.00,25.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,45700.00,232.25,232.25,43.55,69.10,68.15,69.10,6941.00,0.79,-79300.13,38050.00,38050.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,41200.00,-,-,-,3308.40,-,3663.90,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,43500.00,1088.05,1341.00,1065.00,1323.20,1324.10,1323.20,454.00,0.05,-4937.20,16125.00,-2175.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,45800.00,79.40,79.40,46.70,56.65,55.75,56.65,4447.00,0.51,-50917.64,28625.00,28625.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,41500.00,3160.00,3250.00,3150.00,3250.00,3250.00,3372.45,4.00,-,-41.50,100.00,100.00,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,46000.00,32.25,45.90,30.55,37.95,38.45,37.95,32313.00,3.72,-371595.78,151325.00,128250.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,46600.00,4.85,6.40,4.05,4.50,5.50,4.50,98126.00,11.43,-1143156.47,96800.00,70350.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,CE,44100.00,480.05,742.75,480.05,703.20,719.95,703.20,91641.00,10.24,-1010331.78,154275.00,-17725.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,40600.00,-,-,-,3815.00,3815.00,4403.50,-,-,-,705.00,-,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,40800.00,-,-,-,3762.55,-,4214.55,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,42600.00,2062.25,2265.15,2062.25,2265.15,2265.15,2265.15,3.00,-,-19.17,2250.00,15.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,41000.00,3617.95,3862.45,3600.00,3820.00,3820.00,3820.00,46.00,-,-282.90,39285.00,-180.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,43000.00,1830.00,1953.90,1689.55,1917.65,1935.35,1917.65,6034.00,0.41,-38918.89,819465.00,-5985.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,42200.00,-,-,-,2300.00,2300.00,2956.10,-,-,-,1695.00,-,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,37500.00,7000.00,7000.00,7000.00,7000.00,7000.00,7443.50,5.00,-,-28.12,1155.00,75.00,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,43800.00,1153.00,1153.00,1153.00,1153.00,1153.00,1570.95,1.00,-,-10.95,1275.00,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,41800.00,-,-,-,2381.90,-,3190.00,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,13-Jul-2023,CE,48500.00,7.65,13.75,5.45,5.95,6.45,5.95,1779.00,0.22,-21570.16,19100.00,16400.00,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,44500.00,525.75,668.40,514.40,638.50,642.05,638.50,981.00,0.11,-10913.51,5150.00,1900.00,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,42500.00,-,-,-,1898.85,-,2571.90,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,39000.00,-,-,-,4768.00,-,5899.85,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,43200.00,-,-,-,1332.90,1332.90,2004.85,-,-,-,25.00,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,50500.00,-,-,-,22.20,-,9.50,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,43500.00,1300.00,1365.05,1227.60,1365.00,1365.00,1781.00,12.00,-,-130.50,2125.00,75.00,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,45700.00,-,-,-,491.60,-,587.80,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,41100.00,-,-,-,2916.80,-,3843.50,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,20-Jul-2023,CE,43700.00,1120.00,1218.60,1115.00,1218.60,1218.60,1218.60,11.00,-,-120.17,1975.00,-75.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,43600.00,1245.75,1442.45,1226.60,1400.15,1409.80,1400.15,282.00,0.02,-1844.26,14310.00,-510.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,44600.00,535.00,737.70,535.00,702.05,711.10,702.05,23166.00,1.57,-154978.97,40755.00,21165.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,45500.00,211.45,312.15,211.45,288.70,293.65,288.70,51875.00,3.56,-354043.31,523950.00,80250.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,44700.00,559.05,679.15,464.85,644.55,649.95,644.55,23780.00,1.62,-159443.28,62265.00,16530.00,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,46700.00,-,-,-,968.25,-,438.05,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,43400.00,1400.00,1597.35,1400.00,1564.85,1583.45,1564.85,48.00,-,-312.48,7980.00,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,42200.00,-,-,-,2429.75,-,3082.85,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,46200.00,-,-,-,546.80,-,723.30,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,38000.00,-,-,-,6064.05,-,7005.90,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,44700.00,-,-,-,1038.40,-,1371.55,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,40000.00,-,-,-,4197.75,-,5057.50,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,27-Jul-2023,CE,48000.00,29.40,31.50,24.80,26.45,27.45,26.45,37882.00,2.73,-272747.67,302640.00,14430.00,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,41100.00,-,-,-,3262.50,-,4034.30,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,03-Aug-2023,CE,44000.00,1069.90,1181.90,1069.90,1181.90,1181.90,1774.15,5.00,-,-33.00,105.00,-30.00,-
