Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,60000.00,-,-,-,3912.25,3912.25,4423.25,-,-,-,70.00,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,59700.00,-,-,-,4210.10,-,4197.30,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,55300.00,-,-,-,1249.50,1249.50,1544.30,-,-,-,35.00,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,51900.00,-,-,-,592.95,-,488.30,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,52900.00,-,-,-,833.40,-,716.60,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,60600.00,-,-,-,4879.00,-,4893.45,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,52600.00,-,-,-,756.00,-,640.05,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,57500.00,-,-,-,2778.20,-,2694.75,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,56300.00,-,-,-,2129.15,-,2020.80,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,54600.00,-,-,-,1040.00,1040.00,1257.20,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,58800.00,-,-,-,3588.75,-,3542.75,-,-,-,-,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,51300.00,-,-,-,476.55,476.55,381.20,-,-,-,35.00,-,55527.35
BANKNIFTY,13-Jun-2025,28-Aug-2025,PE,50700.00,-,-,-,378.25,-,293.10,-,-,-,-,-,55527.35
