Symbol  ,Date  ,Expiry  ,Option type  ,Strike Price  ,Open  ,High  ,Low  ,Close  ,LTP  ,Settle Price  ,No. of contracts  ,Turnover * in  ₹ Lakhs,Premium Turnover ** in   ₹ Lakhs,Open Int  ,Change in OI  ,Underlying Value  
BANKNIFTY,30-Jun-2023,31-Aug-2023,PE,42600.00,-,-,-,1226.65,-,582.95,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,28-Sep-2023,PE,49500.00,-,-,-,10492.75,-,4534.05,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,28-Sep-2023,PE,52500.00,-,-,-,12863.15,-,7067.05,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,28-Sep-2023,PE,43900.00,-,-,-,1372.35,-,1207.45,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,28-Sep-2023,PE,44300.00,-,-,-,1544.60,-,1366.35,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,28-Sep-2023,PE,46100.00,-,-,-,2476.50,-,2238.80,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,28-Mar-2024,PE,40500.00,-,-,-,2713.55,-,927.15,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,28-Mar-2024,PE,42000.00,-,-,-,3383.80,-,1309.50,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,28-Mar-2024,PE,46500.00,-,-,-,5866.85,-,3024.55,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,27-Jun-2024,PE,45000.00,-,-,-,2675.70,-,2516.55,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,45800.00,1177.50,1177.50,1041.35,1082.85,1080.75,1082.85,288.00,0.03,-3297.57,900.00,900.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,46300.00,1710.70,1710.70,1512.85,1566.65,1571.00,1566.65,8.00,-,-92.60,75.00,75.00,-
BANKNIFTY,30-Jun-2023,06-Jul-2023,PE,44400.00,180.90,269.00,117.40,128.55,122.75,128.55,1422535.00,158.48,-15789980.02,1819500.00,1116050.00,-
BANKNIFTY,30-Jun-2023,28-Sep-2023,PE,42600.00,-,-,-,899.70,-,778.45,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,28-Sep-2023,PE,40000.00,-,-,-,316.65,-,261.10,-,-,-,-,-,-
BANKNIFTY,30-Jun-2023,28-Sep-2023,PE,43500.00,590.00,600.00,531.00,542.70,540.00,542.70,253.00,0.02,-1650.81,3805.00,1355.00,-
